Exercise Name,Body Part,Equipment,Status
"3/4 sit-up","waist","body weight","KEPT"
"45° side bend","waist","body weight","KEPT"
"heel touches","waist","body weight","KEPT"
"balance board","upper legs","body weight","KEPT"
"bench dip","upper arms","body weight","KEPT"
"bench hip extension","upper legs","body weight","KEPT"
"body-up","upper arms","body weight","KEPT"
"reverse crunch","waist","body weight","KEPT"
"chest dip","chest","body weight","KEPT"
"knee circles","lower legs","body weight","KEPT"
"close-grip push-up","upper arms","body weight","KEPT"
"cross body crunch","waist","body weight","KEPT"
"overhead crunch","waist","body weight","KEPT"
"crunch floor","waist","body weight","KEPT"
"dead bug","waist","body weight","KEPT"
"diamond push-up","upper arms","body weight","KEPT"
"donkey calf raise","lower legs","body weight","KEPT"
"elbow to knee crunch","waist","body weight","KEPT"
"leg raise (bent knee)","waist","body weight","KEPT"
"leg raise (straight arm)","waist","body weight","KEPT"
"front plank with twist","waist","body weight","KEPT"
"hanging leg raise","waist","body weight","KEPT"
"hanging pike","waist","body weight","KEPT"
"hanging straight leg hip raise","waist","body weight","KEPT"
"hanging straight leg raise","waist","body weight","KEPT"
"hanging leg raise with twist","waist","body weight","KEPT"
"hip raise","waist","body weight","KEPT"
"bench hyperextension","back","body weight","KEPT"
"hyperextension","back","body weight","KEPT"
"incline leg raise","waist","body weight","KEPT"
"incline push-up","chest","body weight","KEPT"
"incline reverse grip push-up","chest","body weight","KEPT"
"incline twisting sit-up","waist","body weight","KEPT"
"inverse leg curl (bench support)","upper legs","body weight","KEPT"
"inverted row","back","body weight","KEPT"
"inverted row","back","body weight","KEPT"
"isometric wipers","chest","body weight","KEPT"
"jackknife sit-up","waist","body weight","KEPT"
"janda sit-up","waist","body weight","KEPT"
"kick out sit","upper legs","body weight","KEPT"
"leg pull in flat bench","waist","body weight","KEPT"
"side-lying quad stretch","upper legs","body weight","KEPT"
"lying leg raise flat bench","waist","body weight","KEPT"
"march sit (wall)","upper legs","body weight","KEPT"
"negative crunch","waist","body weight","KEPT"
"oblique crunches floor","waist","body weight","KEPT"
"outside leg kick push-up","upper legs","body weight","KEPT"
"overhead triceps stretch","upper arms","body weight","KEPT"
"wall push-up","chest","body weight","KEPT"
"wall push-up","chest","body weight","KEPT"
"push-up inside leg kick","upper legs","body weight","KEPT"
"push-up","chest","body weight","KEPT"
"push-up to side plank","waist","body weight","KEPT"
"raise single arm push-up","chest","body weight","KEPT"
"decline bridge","upper legs","body weight","KEPT"
"rear deltoid stretch","shoulders","body weight","KEPT"
"reverse dip","upper arms","body weight","KEPT"
"ring dips","upper arms","body weight","KEPT"
"run (equipment)","cardio","body weight","KEPT"
"russian twist","waist","body weight","KEPT"
"seated leg raise","waist","body weight","KEPT"
"seated lower back stretch","back","body weight","KEPT"
"seated side crunch (wall)","waist","body weight","KEPT"
"assisted leg curl","upper legs","body weight","KEPT"
"self assisted inverse leg curl","upper legs","body weight","KEPT"
"shoulder tap push-up","chest","body weight","KEPT"
"side bridge","waist","body weight","KEPT"
"side hip (on parallel bars)","waist","body weight","KEPT"
"side hip abduction","upper legs","body weight","KEPT"
"side push neck stretch","neck","body weight","KEPT"
"side push-up","upper arms","body weight","KEPT"
"side-to-side chin","back","body weight","KEPT"
"side wrist pull stretch","lower arms","body weight","KEPT"
"single arm push-up","chest","body weight","KEPT"
"sit-up","waist","body weight","KEPT"
"standing lateral stretch","back","body weight","KEPT"
"standing single leg curl","upper legs","body weight","KEPT"
"suspended abdominal fallout","waist","body weight","KEPT"
"suspended reverse crunch","waist","body weight","KEPT"
"suspended split squat","upper legs","body weight","KEPT"
"triceps dip (bench leg)","upper arms","body weight","KEPT"
"triceps dip (between benches)","upper arms","body weight","KEPT"
"triceps dip","upper arms","body weight","KEPT"
"triceps dips floor","upper arms","body weight","KEPT"
"triceps press","upper arms","body weight","KEPT"
"triceps stretch","upper arms","body weight","KEPT"
"vertical leg raise","waist","body weight","KEPT"
"wind sprints","waist","body weight","KEPT"
"lying leg-hip raise","waist","body weight","KEPT"
"butt-ups","waist","body weight","KEPT"
"tuck crunch","waist","body weight","KEPT"
"reverse crunch","waist","body weight","KEPT"
"band alternating biceps curl","upper arms","band","KEPT"
"band alternating v-up","waist","band","KEPT"
"band assisted wheel rollerout","waist","band","KEPT"
"band close-grip pulldown","back","band","KEPT"
"band close-grip push-up","upper arms","band","KEPT"
"band concentration curl","upper arms","band","KEPT"
"band front lateral raise","shoulders","band","KEPT"
